vector_rank,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,positivity_margin_phi1,trial,seed
1,0.003,0.0029487625446570813,7.703735531339466e-32,1.4186702591784271e-30,2.6125316686818376e-29,2,1.2923754918286834,0.15101923787855842,18,20260605
1,0.001,0.0009842295539611759,2.773340586001474e-32,8.840055802228337e-31,2.8177782051349293e-29,2,1.291179029746863,0.15101923787855842,18,20260605
1,0.1,0.06105838467736123,2.776233874324222e-32,1.1235266896056294e-31,4.546851163839539e-31,2,1.2203784661215744,0.008530497807282211,19,20260605
1,0.03,0.018736053958147928,1.2332734246482554e-32,9.009907014386371e-32,6.582354146732855e-31,2,1.217346651280217,0.008530497807282211,19,20260605
1,0.01,0.006287420935390969,2.7733564337293224e-32,3.4975942040186157e-31,4.410960332110908e-30,2,1.2197074008656221,0.008530497807282211,19,20260605
1,0.003,0.0018907075372441569,2.7733447294479636e-32,6.378105203222803e-31,1.466829044057398e-29,2,1.2208766464971652,0.008530497807282211,19,20260605
1,0.001,0.0006306646121412531,1.237414764999893e-32,4.927380069297878e-31,1.96208054356908e-29,2,1.221242851871749,0.008530497807282211,19,20260605
2,0.1,0.11311026632756198,3.593427333179928e-32,1.0684589822880822e-31,3.1769241200206642e-31,3,1.3340178713376347,0.22559220131204327,0,20260605
2,0.03,0.03658516632603041,9.189631912104105e-32,4.804471254423494e-31,2.5118464216371938e-30,3,1.321435277935301,0.22559220131204327,0,20260605
2,0.01,0.012451406160940827,4.957539279112722e-32,4.442802053208019e-31,3.981509570111181e-30,3,1.3193309457970404,0.22559220131204327,0,20260605
2,0.003,0.00376244612613175,2.7742136533320844e-32,4.522772676144011e-31,7.3734309019444e-30,3,1.3187166553372196,0.22559220131204327,0,20260605
2,0.001,0.0012567257619429003,3.687961543728369e-32,1.040318028649111e-30,2.9345794089768434e-29,3,1.318551899366728,0.22559220131204327,0,20260605
2,0.1,0.11500482280620537,5.570319599950563e-32,1.6425631943584214e-31,4.843553047629236e-31,3,1.2971229632110637,0.12613457925505778,1,20260605
2,0.03,0.03753530330225449,2.690025614882353e-32,1.3884698404503831e-31,7.166654797540377e-31,3,1.2964970249952172,0.12613457925505778,1,20260605
2,0.01,0.012800882848064467,3.418087598263309e-32,3.0210869651055035e-31,2.67019676598332e-30,3,1.2977573458806375,0.12613457925505778,1,20260605
2,0.003,0.003870626850963124,2.7790980383099514e-32,4.466971844924292e-31,7.179968892166475e-30,3,1.298343982577414,0.12613457925505778,1,20260605
2,0.001,0.0012931007198631978,3.025891590334015e-32,8.41467191403044e-31,2.3400277672524504e-29,3,1.2985253917506725,0.12613457925505778,1,20260605
2,0.1,0.10362866454227031,2.465190328815662e-32,7.657914347955195e-32,2.3788691475514544e-31,3,2.1450428773399994,0.6425711911810816,2,20260605
2,0.03,0.0337434858143887,3.5920479507757897e-32,1.955451969732767e-31,1.0645159692553428e-30,3,2.2266212097440112,0.6425711911810816,2,20260605
2,0.01,0.011502181919513896,5.263586286315409e-32,4.9078539538628595e-31,4.576163308098555e-30,3,2.2505006700392296,0.6425711911810816,2,20260605
2,0.003,0.003477403682864227,7.714553133486122e-32,1.3082273360661721e-30,2.2184807508836273e-29,3,2.2589078012429815,0.6425711911810816,2,20260605
2,0.001,0.0011616833827269091,2.889603931058964e-32,8.478019886368822e-31,2.487428135776526e-29,3,2.2613142854033876,0.6425711911810816,2,20260605
2,0.1,0.13759336446230977,6.890440755619098e-32,1.8575831281935968e-31,5.0078292529190684e-31,3,1.8273609653867657,0.05437179372960266,3,20260605
2,0.03,0.04484696774426014,2.927307221213547e-32,1.3822982619495944e-31,6.527324741120777e-31,3,1.87961055019264,0.05437179372960266,3,20260605
2,0.01,0.015293884234056143,4.518564630282814e-32,3.6537733116622563e-31,2.9544911947358386e-30,3,1.8965795697561332,0.05437179372960266,3,20260605
2,0.003,0.004624517667883046,6.706274124448808e-32,9.861615829756294e-31,1.450156450049573e-29,3,1.90268862231192,0.05437179372960266,3,20260605
2,0.001,0.001544972256828868,3.5438817243480115e-32,9.016103249414115e-31,2.2938157683310146e-29,3,1.9044491919083206,0.05437179372960266,3,20260605
2,0.1,0.10274302667557816,4.935195482492292e-32,1.5396718941216347e-31,4.8034359529583325e-31,3,1.6303182434395511,0.20556361816307378,4,20260605
2,0.03,0.0324144432552266,2.804676686633458e-32,1.5578065343883167e-31,8.65255239631865e-31,3,1.6258977140136088,0.20556361816307378,4,20260605
2,0.01,0.01095681856689279,4.930418549878922e-32,4.7102239194579975e-31,4.499863276714935e-30,3,1.6249186593544382,0.20556361816307378,4,20260605
2,0.003,0.0033030186198849086,2.8970217454518706e-32,5.040762597293859e-31,8.770830803105843e-30,3,1.6246015439288854,0.20556361816307378,4,20260605
2,0.001,0.0011025278416878074,6.294851283926956e-32,1.8957920235940552e-30,5.709471494425454e-29,3,1.6245132685229637,0.20556361816307378,4,20260605
2,0.1,0.14459271167000945,3.4139288750083305e-32,8.978034452447805e-32,2.3610656689250175e-31,3,5.005932906072558,0.012118209728289364,5,20260605
2,0.03,0.04640635210026683,2.6388996091634345e-31,1.2249945411289406e-30,5.6865051652018594e-30,3,4.906573473314509,0.012118209728289364,5,20260605
2,0.01,0.015758046810681867,1.51891553959476e-31,1.2099918139068401e-30,9.638983548171318e-30,3,4.882152739038734,0.012118209728289364,5,20260605
2,0.003,0.004757810239303989,5.326496572942163e-32,7.722147514839496e-31,1.1195269052431494e-29,3,4.873962634798472,0.012118209728289364,5,20260605
2,0.001,0.0015888323492628952,4.5166187586714133e-32,1.1331160655518163e-30,2.842728347497961e-29,3,4.8716551759704885,0.012118209728289364,5,20260605
