n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
3,2,0.003,0.004585315034091997,0.0006880247231072834,0.010160602341856102,0.1500496079313619,2,2.5013006206258446,198,20260602
3,2,0.003,0.003165970097708393,0.0006164581719717427,0.010955954242800901,0.19471383271053325,2,2.0500738027574905,199,20260602
3,2,0.003,0.0034142752554676484,0.0004183146404287652,0.0071590236852156,0.12251930765068594,2,2.1448891364227674,200,20260602
3,2,0.003,0.0039869238994731885,0.00027955400630883567,0.004427379476041813,0.07011771816005179,2,2.2676553641838852,201,20260602
3,2,0.003,0.003925113029481398,0.0002868779592158298,0.004579004802800953,0.07308782118147901,2,2.1613005657107873,202,20260602
3,2,0.003,0.001600946370204431,0.0002678679968410819,0.006694720312512055,0.1673185322297066,2,2.1027599912319532,203,20260602
3,2,0.003,0.004554527564368543,0.0006070026046190018,0.008994331439775152,0.13327454846640255,2,2.2389502062147133,204,20260602
3,2,0.003,0.0022309621574991357,0.0006282495158302498,0.013301054125952682,0.2816047388874158,2,2.0465196411232465,205,20260602
3,2,0.003,0.003611752406803499,0.00030056597377241007,0.0050012760713706835,0.08321887547059718,2,2.499408193559277,206,20260602
3,2,0.003,0.0045746561065212734,0.0011610794544151047,0.017166537798493413,0.2538069370416631,2,2.061822629116833,207,20260602
3,2,0.003,0.003961450243768011,0.0006863005085218125,0.010904034525302891,0.1732447629757491,2,2.0955401850523376,208,20260602
3,2,0.003,0.004751812898246258,0.0008861724746727017,0.012855488680727388,0.1864914494002404,2,2.379085840860999,209,20260602
3,2,0.003,0.002614625092951112,0.0007329996771197575,0.014335045340207199,0.28034599648564723,2,2.123227041191224,210,20260602
3,2,0.003,0.003858285082456269,5.598941808435641e-05,0.0009013818248359328,0.01451147773889023,2,2.0938960544117444,211,20260602
